PuzzleId,FEN,Moves,Rating,Themes
BpxtR,r4rk1/pp2qpp1/4p3/3pP1N1/2np2p1/2P5/P1P2PK1/2QR3R b - - 1 22,c4e5 h1h8 g8h8 d1h1 h8g8 h1h8 g8h8 c1h1 h8g8 h1h7,1165,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
BqEQ9,4R1rk/p6p/1p1PQp1r/4p3/8/6P1/PPq1KP2/4R3 w - - 6 37,e2f1 h6h1 f1g2 h1h2 g2h2 c2f2 h2h1 f2f3 h1g1 f3g3 g1f1 g3g2,2651,"['attraction' 'deflection' 'endgame' 'fork' 'mate' 'mateIn5' 'sacrifice'
 'veryLong']"
BqMom,4RR2/1p3ppk/2n4p/8/p6N/1q5P/5PP1/6K1 b - - 1 27,g7g5 f8h8 h7g7 h4f5 g7f6 h8h6 f6f5 g2g4 f5f4 h6f6,2271,['deflection' 'endgame' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
BqQdW,1nbq1bn1/2p3p1/2p1p2r/k1B4p/5P2/1Pp5/3PP2K/RN1Q4 b - - 1 24,a5b5 a1a5 b5a5 b3b4 a5b5 b1a3 b5a6 d1a4 a6b7 a4a7,2527,['attraction' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
Br3AP,2r3r1/1b3N2/p1nb2p1/3n1k1p/3P1p1B/1P6/P3RPPP/4R1K1 b - - 7 29,d6f8 e2e5 c6e5 e1e5 f5g4 f2f3 g4h4 g2g3 f4g3 e5e4 d5f4 e4f4 h4h3 f7g5,2692,['mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
BrCCV,8/8/8/1p3p1p/1P1k1P1P/pK4P1/P7/8 w - - 11 43,b3a3 d4c3 g3g4 f5g4 f4f5 g4g3 f5f6 g3g2 f6f7 g2g1q f7f8q g1c1,1576,"['advancedPawn' 'endgame' 'mate' 'mateIn5' 'pawnEndgame' 'promotion'
 'veryLong']"
BrxVj,8/1p6/p7/7p/7k/1P3Kp1/P5P1/8 b - - 0 50,b7b6 f3f4 a6a5 a2a4 b6b5 a4b5 a5a4 b5b6 a4a3 b6b7 a3a2 b7b8q a2a1q b8d8 a1f6 d8f6,2324,"['advancedPawn' 'endgame' 'mate' 'mateIn5' 'pawnEndgame' 'promotion'
 'quietMove' 'veryLong' 'zugzwang']"
BtVKY,4r1k1/6pp/p3pn2/1pB1Q3/1P6/5bPq/3R4/1B4K1 b - - 1 30,f6g4 e5e6 e8e6 d2d8 e6e8 b1a2 f3d5 a2d5 g8h8 d8e8,2345,['backRankMate' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
BueeY,2k2r1r/1pp1Q3/p2pp3/4p3/4P3/3P2n1/PPP2PPN/R1B2R1K w - - 3 20,h1g1 g3e2 g1h1 h8h2 h1h2 f8h8 c1h6 h8h6 e7h4 h6h4,1437,"['anastasiaMate' 'attraction' 'kingsideAttack' 'mate' 'mateIn5'
 'middlegame' 'sacrifice' 'veryLong']"
Bx2tq,3r2k1/1pp1bp1p/1r4p1/1N3b2/2P4q/PK3P1P/PB2B3/R5QR w - - 0 22,a1d1 b6b5 c4b5 h4a4 b3a4 f5c2 a4a5 d8a8 g1a7 a8a7,2537,['attraction' 'fork' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
Bx8w7,8/ppR3p1/4R3/1k1p4/8/1P3P2/PKP2n2/3q4 b - - 2 32,d1f3 c2c4 d5c4 a2a4 b5b4 c7c4 b4a5 c4c5 b7b5 c5b5,2740,['endgame' 'mate' 'mateIn5' 'veryLong']
BxKAI,8/5pkp/6b1/R2N3P/1P6/6R1/6PK/4rr2 w - - 1 40,h2h3 f1h1 h3g4 f7f5 g4g5 h7h6 g5f4 e1e4 f4f3 h1f1,2473,['endgame' 'exposedKing' 'mate' 'mateIn5' 'veryLong']
BxY3K,7r/pQ2nkp1/2p1pnp1/8/8/2N1BPbr/PPP5/R4RK1 w - - 2 20,c3e4 h3h1 g1g2 h8h2 g2g3 f6h5 g3g4 h2g2 e4g3 g2g3,1901,"['exposedKing' 'hookMate' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
ByFvC,1k3r2/ppp5/4Q3/3N2p1/3P3n/3PP3/Pq1BK3/R6R w - - 1 32,a1b1 f8f2 e2f2 b2d2 f2f1 d2g2 f1e1 h4f3 e1d1 g2d2,1822,"['attraction' 'deflection' 'fork' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
ByKWa,2r1kb2/3q3r/p2p1p2/1p1Qp1B1/4P3/2PR2p1/PP4P1/3R2K1 w - - 0 33,g5f6 h7h1 g1h1 d7h7 f6h4 h7h4 h1g1 h4h2 g1f1 h2h1 f1e2 h1g2 e2e1 g2f2,1338,"['attraction' 'deflection' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
C147a,6k1/Q4p2/5q1p/3B2p1/P2P2b1/2r1PPP1/3p3P/5RK1 w - - 0 26,f3g4 f6f1 g1f1 d2d1q f1g2 c3c2 g2h3 d1f1 d5g2 f1g2,1660,"['advancedPawn' 'attraction' 'endgame' 'mate' 'mateIn5' 'promotion'
 'veryLong']"
C1GhW,7r/1kpq4/3b4/1P6/2P3P1/4B3/4QRP1/1N5K w - - 1 35,h1g1 h8h1 g1h1 d7h7 e3h6 h7h6 h1g1 h6h2 g1f1 h2h1,1770,['attraction' 'fork' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
C2GuG,rnb2rk1/ppq3p1/3bp2p/3pNp2/3P2P1/2PB1N2/PPQ2PP1/R3K2R b KQ - 0 14,f5g4 d3h7 g8h8 e5g6 h8h7 f3g5 h7g8 g6e7 d6e7 c2h7,2508,"['clearance' 'fork' 'mate' 'mateIn5' 'middlegame' 'pin' 'sacrifice'
 'veryLong']"
C4Tc8,r1bq1r2/p2nb1pk/1pn1p3/3pP1P1/3P4/2N1B3/PP2QPP1/R3K2R b KQ - 0 14,h7g8 h1h8 g8h8 e2h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2254,"['attraction' 'kingsideAttack' 'master' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
C4eQi,6k1/R7/6pp/p2q4/5QP1/7P/5P1K/1r6 w - - 5 40,f4e3 b1h1 h2g3 h1g1 g3h4 d5h5 g4h5 g6g5 e3g5 h6g5,2563,['endgame' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
C5lws,2r3k1/1b3p2/p7/1r2p1PR/8/3QBP2/2P2K2/q7 b - - 5 28,a1c3 d3h7 g8f8 h7h8 f8e7 h8f6 e7e8 h5h8 e8d7 f6f7 d7c6 h8h6,2169,['deflection' 'mate' 'mateIn5' 'middlegame' 'veryLong']
C66rT,2rr2k1/2q2pp1/p5bp/1p6/2p5/2Q1RN2/P1P2PPP/4R1K1 b - - 1 24,d8d7 e3e8 c8e8 e1e8 g8h7 f3g5 h6g5 c3h3 g6h5 h3h5,1148,"['clearance' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
C6AJ0,3B3k/5ppp/Q3pn2/1p6/8/4q2P/PP3nP1/5R1K w - - 3 29,h1h2 f6g4 h3g4 f2g4 h2h1 e3h6 d8h4 h6h4 h1g1 h4h2,2131,['endgame' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
C6cQC,6k1/6P1/3p1p1Q/3p1q1p/2nP3P/rp3N2/1P3P2/K3R3 w - - 0 30,b2a3 b3b2 a1a2 b2b1q e1b1 f5c2 a2a1 c2c3 b1b2 c3b2,1799,"['advancedPawn' 'endgame' 'exposedKing' 'fork' 'mate' 'mateIn5'
 'promotion' 'veryLong']"
C6hYz,5rk1/4brp1/4Q3/pq1pP2P/8/2P5/1P6/1K3RR1 b - - 0 40,e7a3 g1g7 g8g7 e6g6 g7h8 g6h6 f7h7 f1f8 a3f8 h6f8,2337,"['attraction' 'deflection' 'mate' 'mateIn5' 'middlegame' 'pin' 'sacrifice'
 'veryLong']"
C79Yv,2kr4/1p1qb3/1P2bp2/1Pp1p1p1/3pPn2/3P3r/1BPN1P2/R2Q1RK1 b - - 0 24,c8b8 a1a8 b8a8 d1a1 e6a2 a1a2 a8b8 a2a7 b8c8 a7a8,1169,"['attraction' 'mate' 'mateIn5' 'middlegame' 'queensideAttack' 'sacrifice'
 'veryLong']"
C7slJ,1RQ5/4qpk1/2p1nnp1/3p3p/3P4/2N1P2P/4NPP1/r5K1 w - - 5 27,g1h2 f6g4 h2g3 h5h4 g3g4 e7g5 g4f3 g5f5 e2f4 e6g5 f3e2 f5c2,2453,['mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
C8D3q,2n2rk1/1p5p/p2bN3/3p1p2/3P2pq/1P2Pp1P/PB3P2/1QR2BK1 w - - 0 27,e6f8 d6h2 g1h2 h4f2 h2h1 g4g3 b1c2 g3g2 f1g2 f3g2 h1h2 g2g1q,2352,"['advancedPawn' 'attraction' 'deflection' 'doubleCheck' 'fork' 'mate'
 'mateIn5' 'middlegame' 'promotion' 'sacrifice' 'veryLong']"
C8yx3,7k/1R4Rp/5B2/4p3/6K1/3q2P1/2r5/8 b - - 7 44,c2c4 g4h5 d3f5 g7g5 f5f6 b7b8 c4c8 b8c8 f6d8 c8d8,2061,"['defensiveMove' 'discoveredAttack' 'endgame' 'mate' 'mateIn5' 'sacrifice'
 'veryLong']"
C9daa,1r6/p1p2k2/2p2R2/2PpPrB1/1P1Pq2p/P4p1Q/7P/6RK b - - 10 36,f5f6 h3d7 f7f8 g5h6 f6h6 d7g7 f8e8 g7g8 e8d7 g1g7,1919,['endgame' 'exposedKing' 'fork' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
C9t9Q,5r2/p3kpp1/1p2p2p/3pP3/Pq1P4/1Pr1PQ2/5RPP/5RK1 b - - 10 26,b4b3 f3f7 f8f7 f2f7 e7e8 f7f8 e8d7 f1f7 d7c6 f8c8,1227,['endgame' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
CAT29,2r1r1k1/2q2pp1/2Np1b2/3Pn2P/p2B4/1p6/PPb2QB1/K1R3R1 b - - 1 28,e5d3 f2f6 g7f6 g2e4 g8f8 e4h7 c7c6 d4f6 a4a3 g1g8,2513,"['discoveredAttack' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
CCEoq,K1k5/8/P5p1/7p/7P/6P1/8/8 w - - 3 45,a6a7 c8c7 g3g4 h5g4 h4h5 g4g3 h5h6 g3g2 h6h7 g2g1q h7h8q g1g2,1851,"['advancedPawn' 'endgame' 'mate' 'mateIn5' 'pawnEndgame' 'promotion'
 'veryLong' 'zugzwang']"
CDQUG,r5k1/pp4pp/8/2r2b2/5p2/8/PPP1BPPP/2KRR3 w - - 2 19,e2f3 c5c2 c1b1 c2c1 b1c1 a8c8 f3c6 c8c6 c1d2 c6c2,2350,"['attraction' 'doubleCheck' 'endgame' 'mate' 'mateIn5' 'queensideAttack'
 'sacrifice' 'veryLong']"
CDqnN,4r1k1/Q4p1p/1pB3p1/3pb1q1/1B1Nn1n1/4P3/PP3PPP/2R2RK1 w - - 3 24,c6e8 e5h2 g1h1 g4f2 f1f2 e4g3 h1h2 g5h4 h2g1 h4h1,2510,"['deflection' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
CDuIZ,4r3/4Pr1p/b6k/1p2Q1pq/8/4B3/p1P3P1/3R2K1 b - - 2 42,f7e7 e5f6 h5g6 e3g5 h6h5 g2g4 h5g4 f6f4 g4h5 f4h4,2432,['attraction' 'fork' 'mate' 'mateIn5' 'middlegame' 'pin' 'veryLong']
CErWs,8/5pk1/p2Q2p1/1p3q1p/8/2P1PPPK/PP5P/8 w - - 3 37,g3g4 f5f3 d6g3 h5g4 h3h4 f3f6 h4g4 f6f5 g4h4 f5h5,2199,['endgame' 'mate' 'mateIn5' 'queenEndgame' 'veryLong']
CFOOy,1k1q3r/1p6/3p4/1NpPpR2/2P3n1/1PB1P1pK/P3Q3/5R2 w - - 1 28,h3g3 d8h4 g3f3 e5e4 f3e4 g4f2 e4f3 h4g4 f3f2 h8h2 f2e1 g4e2,2518,"['attraction' 'doubleCheck' 'exposedKing' 'fork' 'mate' 'mateIn5'
 'middlegame' 'sacrifice' 'veryLong']"
CGBDB,6k1/5pp1/4p1p1/2Np4/2nPn3/4PNP1/R4PPK/5r2 b - - 5 29,e4f2 a2a8 g8h7 f3g5 h7h6 g5f7 h6h5 a8h8 h5g4 h8h4 g4f5 h4f4,1901,['endgame' 'mate' 'mateIn5' 'veryLong']
CGdfh,1Q6/7p/3Qnkp1/2p5/3bq3/6P1/5PKP/8 w - - 4 52,f2f3 e4e2 g2h3 e2f1 h3h4 g6g5 h4g4 h7h5 g4h5 f1h3,1299,['attraction' 'endgame' 'mate' 'mateIn5' 'veryLong']
CGlYl,2kr2r1/pbpp1p1p/1p3b2/6B1/8/2NB4/PPP2PPP/R4RK1 w - - 0 14,g5f6 g8g2 g1h1 g2g1 h1g1 d8g8 d3g6 g8g6 f6g5 g6g5,2013,"['attraction' 'doubleCheck' 'fork' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
CH5oF,4Q3/p5pk/1p1b3p/3N4/P2Pp3/4P2q/1P3Pr1/R1R2K2 w - - 0 32,f1e2 g2f2 e2f2 d6g3 f2e2 h3g2 e2d1 g2f1 d1d2 f1d3,2791,['attraction' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
CISjm,r6r/2p1n2p/2n1Npk1/p1P2Bp1/1pQ1P3/PP1PK3/1q6/7R b - - 11 33,e7f5 e4f5 g6f7 e6g5 f7e8 c4f7 e8d8 g5e6 d8c8 f7c7,2209,['doubleCheck' 'mate' 'mateIn5' 'middlegame' 'veryLong']
CItvv,7k/7p/3Q1p2/1N3P1P/2q1p1r1/3nP3/3P2K1/BR6 w - - 0 36,g2f1 d3f4 d2d3 g4g1 f1g1 c4g8 g1f1 g8g2 f1e1 g2e2,2489,"['attraction' 'discoveredAttack' 'exposedKing' 'mate' 'mateIn5'
 'middlegame' 'sacrifice' 'veryLong']"
CJHWC,3R1bk1/3Qpp1p/p5pB/8/1p2n3/1q6/5P1P/1K1R4 w - - 0 28,b1a1 b3a3 a1b1 e4c3 b1c2 a3a2 c2d3 a2e2 d3d4 e7e5,2474,['exposedKing' 'fork' 'mate' 'mateIn5' 'middlegame' 'veryLong']
CJfNH,5rk1/2QR1pp1/7p/4P1b1/1p3q2/1P6/r4PPP/B4RK1 w - - 1 26,c7b7 f4f2 f1f2 a2a1 d7d1 a1d1 f2f1 g5e3 g1h1 d1f1,1561,"['backRankMate' 'deflection' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
CKNuy,1k3q1r/5B2/Pp1pQ2b/4p3/4P2P/6P1/5P1K/8 b - - 4 48,b8a7 e6d7 a7a6 f7c4 b6b5 d7b5 a6a7 b5a6 a7b8 a6b6 b8c8 c4e6,2435,['endgame' 'mate' 'mateIn5' 'veryLong']
CLNre,8/3P2Rp/5p2/4n3/3r4/4k1P1/2B4P/6K1 w - - 1 39,c2f5 e5f3 g1f1 d4d1 f1g2 d1d2 g2h3 d2h2 h3g4 f3e5,2223,['endgame' 'mate' 'mateIn5' 'veryLong']
CLUY5,1Q6/5pp1/2p1p1k1/3pP2P/3Pb3/5NK1/3n1B2/7q b - - 0 39,g6h7 f3g5 h7h6 b8h8 h6g5 f2e3 g5f5 h8h7 g7g6 h7f7,2280,['endgame' 'fork' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
CMMit,6rk/1pp1q2p/p6r/3Pnp2/1P2pN2/PQ2P3/5PPP/2R2RK1 w - - 1 22,g1h1 h6h2 h1h2 e7h4 f4h3 g8g2 h2g2 h4g4 g2h2 e5f3 h2h1 g4h3,2279,"['attraction' 'deflection' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
CQa0f,2rq1r1k/3b2pB/p1n1p3/1p1pP2Q/1P3B1b/P7/5PPN/R4RK1 b - - 2 19,f8f4 h7g6 h8g8 h5h7 g8f8 h7h8 f8e7 h8g7 f4f7 g7f7,1370,"['deflection' 'discoveredAttack' 'kingsideAttack' 'mate' 'mateIn5'
 'middlegame' 'veryLong']"
CS2HH,r1bq1r2/2pnb1pk/p1n1pp2/1p2P1N1/3P3P/2N5/PP3PP1/R1BQK2R b KQ - 1 13,f6g5 h4g5 h7g8 h1h8 g8h8 d1h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2418,"['attraction' 'discoveredAttack' 'mate' 'mateIn5' 'opening' 'sacrifice'
 'veryLong']"
CSWaJ,Q7/6pk/2P2p1p/1q6/8/7P/4KPP1/8 w - - 3 35,e2f3 b5d3 f3g4 h6h5 g4h4 g7g5 h4h5 d3g6 h5g4 g6e4 f2f4 e4f4 g4h5 f4h4,2372,['endgame' 'exposedKing' 'mate' 'mateIn5' 'queenEndgame' 'veryLong']
CSYfg,5r1k/4Npbp/4b3/3pNpQ1/2pP1P2/7R/p5PK/2q5 b - - 1 38,a2a1q e5g6 f7g6 h3h7 h8h7 g5g6 h7h8 g6h5 g7h6 h5h6,2441,"['attraction' 'fork' 'mate' 'mateIn5' 'middlegame' 'pin' 'sacrifice'
 'veryLong']"
CUDEh,5r1k/4bBp1/2p4p/1pq1p2Q/p3P3/P1N3R1/1Pr2PPP/5RK1 w - - 0 23,h5g6 c5f2 f1f2 c2c1 c3d1 c1d1 f2f1 e7c5 g3e3 c5e3 g1h1 d1f1,1607,['backRankMate' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
CUzdk,1k4r1/1bpR2Bp/p1n5/1p6/5Q2/8/q1P2P1P/2K5 b - - 4 27,c6a5 f4c7 b8a7 g7d4 a7a8 d7d8 g8d8 c7d8 b7c8 d8c8,1408,['mate' 'mateIn5' 'middlegame' 'veryLong']
CXi2d,1r3rk1/pb1R1ppp/1pn1p3/4P3/5Q2/1Bq3B1/P4PPP/3R2K1 b - - 5 20,b8d8 f4f7 f8f7 d7d8 c6d8 d1d8 f7f8 b3e6 g8h8 d8f8,2099,"['backRankMate' 'deflection' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
CY9BR,2r2kR1/5p1p/p2p1P2/1p1P4/2n4P/qP1Q4/P1P5/1K1R4 b - - 2 28,f8g8 d3g3 g8f8 g3g7 f8e8 g7g8 e8d7 g8f7 d7d8 f7e7,2389,['deflection' 'endgame' 'mate' 'mateIn5' 'veryLong']
CYA4R,r4rk1/pp1n1p1R/4p1p1/3pP1N1/6P1/2p5/PQ2KP2/R7 b - - 0 22,c3b2 a1h1 d7e5 g5e4 d5e4 g4g5 f7f6 g5f6 f8f6 h7h8 g8f7 h1h7,2705,['endgame' 'mate' 'mateIn5' 'quietMove' 'sacrifice' 'veryLong']
CYgOy,r5k1/ppp2rbn/1P4n1/PN1Pp2p/2N1Pp1q/5Ppb/4B1PP/R2Q1RBK w - - 6 23,b5c7 h3g2 h1g2 h4h3 g2h3 h7g5 h3g2 g6h4 g2h1 g3g2,2488,"['advancedPawn' 'attraction' 'kingsideAttack' 'mate' 'mateIn5'
 'middlegame' 'sacrifice' 'veryLong']"
CZJ0f,1k5r/p2q4/1p1pp3/4p3/4P1n1/1Q1P2r1/2R3P1/RN2N1K1 w - - 2 24,b3a3 h8h1 g1h1 d7h7 h1g1 h7h2 g1f1 h2h1 f1e2 g3e3 e2d1 h1e1,2085,['attraction' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
CZd1W,r6k/5pqp/p1b1p3/1pPpPp2/1P1N1Pr1/P1P5/6PP/R3QRK1 w - - 4 24,d4c6 g4g2 g1h1 g2h2 h1h2 a8g8 a1a2 g7h6 e1h4 h6h4,2515,"['kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'quietMove' 'sacrifice'
 'veryLong']"
CZkAt,R1r5/6pk/3qp2p/3p1p1Q/4n3/4PNP1/5PPK/R1r5 b - - 7 32,e4f2 f3g5 h7g8 h5f7 g8h8 f7e8 c8e8 a8e8 d6f8 e8f8,2491,['mate' 'mateIn5' 'middlegame' 'pin' 'sacrifice' 'veryLong' 'xRayAttack']
CZpXQ,5r2/p1pk4/1p1p2Pp/3b4/3b2n1/6P1/PPPBN1KP/R3R3 w - - 3 25,g2h3 g4f2 h3h4 d4f6 h4h5 d5f3 g3g4 f3g4 h5h6 f8h8,1394,['mate' 'mateIn5' 'middlegame' 'veryLong']
CaP0f,r1bq1r2/pp1nb1pk/2n1pp2/3pP1N1/3P3P/P1N5/2P2PP1/R1BQK2R b KQ - 1 12,f6g5 h4g5 h7g8 h1h8 g8h8 d1h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2161,"['attraction' 'discoveredAttack' 'mate' 'mateIn5' 'opening' 'sacrifice'
 'veryLong']"
Camzq,1r2q2r/p3ppk1/3p2P1/2pP2QR/1p3N2/3P2P1/PPP2K2/5n2 b - - 0 24,f7g6 f4e6 g7f7 g5f4 f7g8 h5h8 g8h8 f4h6 h8g8 h6g7,1799,['attraction' 'mate' 'mateIn5' 'middlegame' 'pin' 'veryLong']
CbR4b,r3rbk1/ppq2p1p/2n1pBp1/8/2BP3Q/8/PP2KPP1/R3R3 b - - 3 20,c6b4 h4h7 g8h7 e1h1 f8h6 h1h6 h7h6 a1h1 c7h2 h1h2,1597,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
CbV5y,K1k5/8/P5p1/7p/7P/6P1/8/8 w - - 3 57,a6a7 c8c7 g3g4 h5g4 h4h5 g4g3 h5h6 g3g2 h6h7 g2g1q h7h8q g1g2,1733,"['advancedPawn' 'endgame' 'mate' 'mateIn5' 'pawnEndgame' 'promotion'
 'veryLong' 'zugzwang']"
Cbwr2,6k1/6pp/p2P3r/1p1P1p2/6rq/P1P5/1P1Q2PP/3R1RK1 w - - 1 28,g2g3 g4g3 h2g3 h4h1 g1f2 h6h2 f2e1 h1e4 d2e2 h2e2,1707,['endgame' 'kingsideAttack' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
Ceycx,2r4B/1p3p1p/3kpQp1/pB1q4/P3b3/4PN2/5PPP/6K1 w - - 7 27,f6f7 c8c1 b5f1 c1f1 g1f1 d5d1 f3e1 e4d3 f1g1 d1e1,2185,"['attraction' 'deflection' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
CfWIC,2kq4/pp1b2p1/4p3/nP1p4/P2P2P1/2NBBKb1/4Q2r/2R2R2 w - - 3 28,f3g3 d8h4 g3f4 e6e5 f4e5 h4e7 e5f4 e7d6 f4f3 h2h3 f3f2 d6g3,2715,['attraction' 'mate' 'mateIn5' 'middlegame' 'veryLong']
Cfgl6,2kr3r/p1p3p1/2p1q3/5bB1/4N1n1/8/PPP1QPP1/R3R1K1 w - - 1 18,g5d8 h8h1 g1h1 e6h6 d8h4 h6h4 h1g1 h4h2 g1f1 h2h1,1531,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
CfwMA,r4rk1/1p4pp/2pp4/p6q/2P3n1/1PQ1P2N/PB3P1K/5RR1 w - - 4 25,h2g3 f8f3 g3f3 g4e5 f3g2 h5g4 g2h2 e5f3 h2h1 g4h3,2260,"['attraction' 'deflection' 'doubleCheck' 'exposedKing' 'fork' 'mate'
 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']"
CgFmJ,r2qrnk1/1p1bbppp/p3pB2/4N3/3p3Q/2NB3R/PPP3PP/4R1K1 b - - 0 15,e7f6 d3h7 f8h7 h4h7 g8f8 c3d5 e6d5 e5d7 d8d7 h7h8,2451,['kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
CgeLs,r5r1/ppp1kpp1/8/n2P2P1/3P4/2PQ3P/q4P2/2KRR3 b - - 1 24,e7d6 d3g3 d6d7 e1e7 d7e7 g3c7 e7f8 c7d6 f8e8 d1e1 a2e2 e1e2,2187,"['attraction' 'deflection' 'exposedKing' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
Cgfkh,8/3n1rk1/2R1Q1p1/7r/1p2N1K1/5PP1/1P2q2P/8 b - - 2 35,h5f5 e6g6 g7h8 g6h6 f7h7 c6c8 d7f8 c8f8 f5f8 h6f8,2295,['mate' 'mateIn5' 'middlegame' 'veryLong']
Cgj7o,2r1r3/7p/5kp1/8/R7/1P2K2P/P4PP1/5R2 w - - 5 35,e3f3 c8c3 f3g4 h7h5 g4h4 g6g5 h4h5 e8h8 h5g4 h8h4,1733,['endgame' 'exposedKing' 'mate' 'mateIn5' 'rookEndgame' 'veryLong']
CitXu,2k4r/pp1q1pp1/2p1b2r/3p4/NP1P1Q2/P4nB1/2P2PP1/R3R1K1 w - - 2 22,g2f3 h6h1 g1g2 e6h3 g2h1 h3g2 h1g1 h8h1 g1g2 d7h3,2433,"['doubleCheck' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
CmHuR,8/pbNpQ2p/1p3ppk/8/n4B2/8/P1q2PPP/6K1 b - - 5 25,g6g5 e7f6 c2g6 f4g5 h6h5 g2g4 h5g4 f6f4 g4h5 f4h4,2078,['attraction' 'endgame' 'fork' 'mate' 'mateIn5' 'veryLong']
CmJk7,r2qnr2/pp1bb1pk/4pp2/2ppB1N1/3P3P/2P1P3/PP3PP1/R2QK2R b KQ - 1 13,f6g5 h4g5 h7g8 h1h8 g8h8 d1h5 h8g8 g5g6 e8f6 e5f6 f8f6 h5h7 g8f8 h7h8,2316,"['attraction' 'discoveredAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
CmQKk,6k1/8/P1N2p1p/8/5p1n/6bP/1r4P1/R4RK1 w - - 3 36,f1b1 b2g2 g1f1 g2f2 f1e1 h4g2 e1d1 g2e3 d1c1 f2c2,2340,['endgame' 'mate' 'mateIn5' 'veryLong']
CnFtq,6k1/pp3pp1/2p3p1/3r3r/PP1p4/3QBPqP/2R3P1/5R1K w - - 0 31,e3f2 h5h3 g2h3 g3h3 h1g1 d5g5 f2g3 h3g3 g1h1 g5h5 c2h2 g3h2,2040,['kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
CoWTm,8/8/1p6/p6p/P6P/2P1K1k1/6P1/8 b - - 0 34,g3h4 e3f4 b6b5 a4b5 a5a4 b5b6 a4a3 b6b7 a3a2 b7b8q a2a1q b8d8,1813,"['advancedPawn' 'endgame' 'mate' 'mateIn5' 'pawnEndgame' 'promotion'
 'veryLong']"
CoZex,6k1/6p1/1Q1p4/1p1Ppqb1/1P5p/P5P1/2r2PKP/B4R2 w - - 0 33,b6d6 h4h3 g2g1 f5f2 f1f2 c2c1 f2f1 g5e3 g1h1 c1f1,2551,['deflection' 'endgame' 'fork' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
CqO9Y,2r2nkQ/1b4p1/p3p3/3pP3/1p1q1P2/5BK1/P5P1/2q4R b - - 1 33,g8f7 f3h5 g7g6 h5g6 f7e7 h8g7 e7d8 g7f8 d8c7 f8d6,2558,"['deflection' 'dovetailMate' 'master' 'mate' 'mateIn5' 'middlegame'
 'veryLong']"
